so_lop,so_head,d_ff,dropout,giay_moi_buoc,token_moi_giay,bo_nho_dinh_mb,so_tham_so,so_batch_moi_epoch
4,4,688,0.3,0.2727860328000001,17813.961917774548,6958.97119140625,37432320,54
4,8,688,0.3,0.28394994446666527,17113.579680838702,7024.61181640625,37432320,54
6,4,688,0.3,0.3572044661999996,13603.973241698524,8016.2919921875,47955968,54
6,8,688,0.3,0.370952939033333,13099.774900458047,8111.6767578125,47955968,54
6,8,512,0.3,0.3655034456666669,13295.086701950526,7923.56298828125,44711936,54
6,8,1024,0.3,0.3951259241999992,12298.35782058263,8435.23046875,54149120,54
6,8,688,0.1,0.3812350671333339,12746.46646894228,8111.6767578125,47955968,54
6,8,688,0.5,0.37649450526666706,12906.961275724698,8111.6767578125,47955968,54
