buoc,loss_train,learning_rate,giay_moi_buoc,token_moi_giay
50,6.294490694999695,0.0007,1.4570362402600017,13544.357686311525
100,5.728242039680481,0.0007,1.4055266839599994,13967.43315088759
150,5.37235963344574,0.0007,1.3970171236599982,14027.301217797605
200,4.996753215789795,0.0007,1.3985175398399996,13972.938803638941
250,4.359082102775574,0.0007,1.3962943570199968,14048.842854214205
300,4.493864297866821,0.0007,1.3988704765800002,14019.668245445611
350,4.094154894351959,0.0007,1.417131323839999,13854.453479158808
400,3.967079818248749,0.0007,1.3986241135,14020.26449474625
450,3.8664101362228394,0.0007,1.4059449571599998,13921.668768269237
500,3.809639632701874,0.0007,1.4091892617600024,13955.173044278568
550,3.2744877338409424,0.0007,1.4165817925200008,13935.489008991535
600,3.1047606468200684,0.0007,1.4012419966000016,13959.444583777884
650,3.2166621685028076,0.0007,1.3939231117400004,14066.127345808143
700,2.9688274264335632,0.0007,1.4080991269000014,13950.026404209952
750,2.964703679084778,0.0007,1.4019946096000013,13953.505859470733
800,2.6419907212257385,0.0007,1.3976325229399982,13987.811301697431
850,2.7792163491249084,0.0007,1.4226383799999984,13911.4902832862
900,2.651366114616394,0.0007,1.4089438256399989,13905.054015266209
950,2.651373565196991,0.0007,1.4103687347799951,13942.325517494814
1000,2.5864809155464172,0.0007,1.3977437230599934,14043.99080900573
1000,,,,
1050,2.3581494092941284,0.0007,2.1716205568199984,9036.477361743164
1100,2.5690357089042664,0.0007,1.4089690702000006,13928.723074960222
1150,2.439678132534027,0.0007,1.3892896681399998,14069.56407166649
1200,2.5838446021080017,0.0007,1.4120196097000006,13953.673068454122
1250,2.2432147562503815,0.0007,1.4079410287799965,13970.14477022779
1300,2.436407506465912,0.0007,1.4116538581999976,13940.938768866274
1350,2.458273708820343,0.0007,1.3868669563800085,14036.06878832159
1400,2.2239068150520325,0.0007,1.401084960600001,14001.69193993701
1450,2.2442435026168823,0.0007,1.4207015005199992,13905.91900745437
1500,2.345023214817047,0.0007,1.4064642282800015,13970.593496024709
1550,2.225570559501648,0.0007,1.388810112859992,14054.232338361224
1600,2.0619455575942993,0.0007,1.4077016107800047,13929.557123355768
1650,2.184106022119522,0.0007,1.4145877548999943,13944.020038116676
1700,2.1107212901115417,0.0007,1.3875606141800017,14072.235692232594
1750,2.0367226600646973,0.0007,1.3978039679199992,14019.347812526426
1800,2.190742075443268,0.0007,1.4104785819399968,13958.921639859102
1850,2.0292957425117493,0.0007,1.413779362359992,13942.005750527424
1900,2.085391789674759,0.0007,1.3925844750799934,14017.835434276736
1950,1.9104514718055725,0.0007,1.4168095086799986,13916.083904864001
2000,1.9869137704372406,0.0007,1.399894149060001,13956.498077457567
2000,,,,
2050,2.0461901128292084,0.0007,2.9133731330200043,6743.12527198867
2100,1.87891885638237,0.0007,1.4176386851999996,13887.741781836645
2150,1.9937694668769836,0.0007,1.3853075677200013,14090.863613866739
2200,1.9701339304447174,0.0007,1.4064198418400065,13990.445395208226
2250,1.8328016698360443,0.0007,1.4002482743800102,13948.140738575597
2300,1.9487397074699402,0.0007,1.4085290837799949,13994.656004617436
2350,1.9432945549488068,0.0007,1.4020951450600114,13963.146558903498
2400,2.0045236945152283,0.0007,1.4099462546999895,13940.800888316406
2450,1.9779572784900665,0.0007,1.4033853115800048,13929.659829481236
2500,1.7755101025104523,0.0007,1.4125100981200012,13929.542894020738
2550,1.9035047888755798,0.0007,1.4091210398600014,13983.766789798063
2600,1.7999789416790009,0.0007,1.3894427656600055,14114.564834690624
2650,1.8305765688419342,0.0007,1.3922782681999888,13995.607376097489
2700,1.9833634793758392,0.0007,1.4065774099599913,13948.524881085687
2750,1.7954395413398743,0.0007,1.4093451238399939,13988.213154124624
2800,1.7628288269042969,0.0007,1.417494310819984,13889.015179617354
2850,1.7902979254722595,0.0007,1.389457071380002,14074.763735288918
2900,1.98038911819458,0.0007,1.4039554888400017,13963.362909886466
2950,1.8243136405944824,0.0007,1.404068023560012,14059.959822990893
3000,1.8988642692565918,0.0007,1.3979180823999924,13997.029043652714
3000,,,,
3050,1.731025606393814,0.0007,2.181415669780017,8991.54630257973
3100,1.9047799706459045,0.0007,1.4054707979399972,13967.405106369262
3150,1.8751246929168701,0.0007,1.3995917609199933,14021.13140984815
3200,1.9424522519111633,0.0007,1.4075643710800068,13959.944144453702
3250,1.8107003271579742,0.0007,1.3928018178799904,14035.20569046555
3300,1.7216143608093262,0.0007,1.420881602240006,13901.679048317717
3350,1.7324551343917847,0.0007,1.401992355780003,14012.715489500682
3400,1.8439937233924866,0.0007,1.3942637585599913,14044.717062878055
3450,1.7803147733211517,0.0007,1.407609748140003,13915.660946425733
3500,1.6277245879173279,0.0007,1.3982375388400032,14024.52691712769
3550,1.6994769871234894,0.0007,1.3949723853599971,13967.832054948973
